timestamp,temperature,humidity,wind_speed
01-01-2023 00:00,20,30,5
01-01-2023 01:00,19,32,5
01-01-2023 02:00,18,35,6
01-01-2023 03:00,17,33,7
01-01-2023 04:00,16,31,6
01-01-2023 05:00,15,30,5
01-01-2023 06:00,14,29,4
01-01-2023 07:00,13,28,3
01-01-2023 08:00,14,27,4
01-01-2023 09:00,15,26,5
01-01-2023 10:00,16,25,6
01-01-2023 11:00,17,24,7
01-01-2023 12:00,18,23,6
01-01-2023 13:00,19,22,5
01-01-2023 14:00,20,21,4
01-01-2023 15:00,21,20,3
01-01-2023 16:00,22,19,4
01-01-2023 17:00,23,18,5
01-01-2023 18:00,24,17,6
01-01-2023 19:00,25,16,7
01-01-2023 20:00,24,18,6
01-01-2023 21:00,23,20,5
01-01-2023 22:00,22,22,4
01-01-2023 23:00,21,24,3
